birth_date,breed,pasture_zone,health_status,date,weight
2023-06-26,Hereford,Norte,Bueno,2024-10-18,570
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2022-10-26,Charolais,Norte,Bueno,2024-10-15,600
2023-05-26,Charolais,Norte,Bueno,2024-10-17,600
2023-07-26,Angus,Norte,Bueno,2024-10-18,550
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-03-26,Hereford,Norte,Bueno,2024-10-16,570
2023-07-26,Charolais,Norte,Bueno,2024-10-18,599
2023-04-26,Charolais,Norte,Bueno,2024-10-17,600
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-03-26,Hereford,Norte,Bueno,2024-10-16,570
2023-11-26,Angus,Norte,Bueno,2025-10-16,550
2023-05-26,Charolais,Norte,Bueno,2024-10-17,600
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-07-26,Charolais,Norte,Bueno,2024-10-18,599
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2023-03-26,Angus,Norte,Bueno,2024-10-16,550
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2022-10-26,Angus,Norte,Bueno,2024-10-15,550
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-04-26,Charolais,Norte,Bueno,2024-10-17,600
2023-02-26,Angus,Norte,Bueno,2024-10-18,550
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-04-26,Charolais,Norte,Bueno,2024-10-17,600
2022-10-26,Charolais,Norte,Bueno,2024-10-15,600
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2022-10-26,Charolais,Norte,Bueno,2024-10-15,600
2023-03-26,Hereford,Norte,Bueno,2024-10-16,570
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2022-10-26,Angus,Norte,Bueno,2024-10-15,550
2023-05-26,Charolais,Norte,Bueno,2024-10-17,600
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2023-11-26,Angus,Norte,Bueno,2025-10-16,550
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2023-03-26,Angus,Norte,Bueno,2024-10-16,550
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-05-26,Charolais,Norte,Bueno,2024-10-17,600
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-05-26,Charolais,Norte,Bueno,2024-10-17,600
2023-02-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2022-10-26,Charolais,Norte,Bueno,2024-10-15,600
2023-11-26,Hereford,Norte,Bueno,2025-10-16,570
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-04-26,Charolais,Norte,Bueno,2024-10-17,600
2023-07-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Hereford,Norte,Bueno,2024-10-18,570
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-03-26,Hereford,Norte,Bueno,2024-10-16,570
2023-04-26,Angus,Norte,Bueno,2024-10-17,550
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-04-26,Angus,Norte,Bueno,2024-10-17,550
2023-06-26,Hereford,Norte,Bueno,2024-10-18,570
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-11-26,Angus,Norte,Bueno,2025-10-16,550
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-07-26,Charolais,Norte,Bueno,2024-10-18,599
2023-02-26,Angus,Norte,Bueno,2024-10-18,550
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-02-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-11-26,Hereford,Norte,Bueno,2025-10-16,570
2023-03-26,Angus,Norte,Bueno,2024-10-16,550
2023-04-26,Angus,Norte,Bueno,2024-10-17,550
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2022-10-26,Angus,Norte,Bueno,2024-10-15,550
2023-11-26,Angus,Norte,Bueno,2025-10-16,550
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-02-26,Angus,Norte,Bueno,2024-10-18,550
2023-07-26,Charolais,Norte,Bueno,2024-10-18,599
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-03-26,Angus,Norte,Bueno,2024-10-16,550
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-03-26,Angus,Norte,Bueno,2024-10-16,550
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2023-07-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-03-26,Hereford,Norte,Bueno,2024-10-16,570
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2022-10-26,Charolais,Norte,Bueno,2024-10-15,600
2023-11-26,Hereford,Norte,Bueno,2025-10-16,570
2022-10-26,Charolais,Norte,Bueno,2024-10-15,600
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-04-26,Angus,Norte,Bueno,2024-10-17,550
2023-04-26,Angus,Norte,Bueno,2024-10-17,550
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-04-26,Angus,Norte,Bueno,2024-10-17,550
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-02-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-05-26,Charolais,Norte,Bueno,2024-10-17,600
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-04-26,Angus,Norte,Bueno,2024-10-17,550
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-11-26,Angus,Norte,Bueno,2025-10-16,550
2023-03-26,Charolais,Norte,Bueno,2024-10-16,600
2023-07-26,Angus,Norte,Bueno,2024-10-18,550
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-02-26,Angus,Norte,Bueno,2024-10-18,550
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-07-26,Charolais,Norte,Bueno,2024-10-18,599
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-12-26,Angus,Norte,Bueno,2025-10-16,550
2023-11-26,Angus,Norte,Bueno,2025-10-16,550
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-04-26,Charolais,Norte,Bueno,2024-10-17,600
2023-11-26,Angus,Norte,Bueno,2025-10-16,550
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-04-26,Charolais,Norte,Bueno,2024-10-17,600
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-04-26,Hereford,Norte,Bueno,2024-10-17,570
2022-10-26,Angus,Norte,Bueno,2024-10-15,550
2023-06-26,Angus,Norte,Bueno,2024-10-18,550
2023-11-26,Hereford,Norte,Bueno,2025-10-16,570
2022-10-26,Hereford,Norte,Bueno,2024-10-15,570
2023-11-26,Hereford,Norte,Bueno,2025-10-16,570
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-06-26,Hereford,Norte,Bueno,2024-10-18,570
2023-01-26,Angus,Norte,Bueno,2024-10-17,550
2023-06-26,Hereford,Norte,Bueno,2024-10-18,570
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-04-26,Charolais,Norte,Bueno,2024-10-17,600
2023-07-26,Angus,Norte,Bueno,2024-10-18,550
2023-05-26,Hereford,Norte,Bueno,2024-10-17,570
2023-06-26,Hereford,Norte,Bueno,2024-10-18,570
2023-12-26,Charolais,Norte,Bueno,2025-10-16,600
2022-10-26,Angus,Norte,Bueno,2024-10-15,550
2023-07-26,Hereford,Norte,Bueno,2024-10-18,570
2023-12-26,Hereford,Norte,Bueno,2025-10-16,570
2023-01-26,Hereford,Norte,Bueno,2024-10-17,570
2023-02-26,Charolais,Norte,Bueno,2024-10-18,600
2023-05-26,Angus,Norte,Bueno,2024-10-17,550
2023-01-26,Charolais,Norte,Bueno,2024-10-17,600
2023-02-26,Hereford,Norte,Bueno,2024-10-18,570
2023-11-26,Charolais,Norte,Bueno,2025-10-16,600
2023-06-26,Charolais,Norte,Bueno,2024-10-18,600
